Provinsi,Tahun,PDB_Harga_Berlaku,PDB_Harga_Konstan,Pendapatan_HB,Pendapatan_HK,Laju_HK,Laju_Pendapatan_HK
SULAWESI BARAT,2020,46427.58,32054.50,32809.67,22652.43,-2.40,-6.25
MALUKU,2020,46262.45,30765.27,25093.81,16687.79,-0.92,-4.95
MALUKU UTARA,2020,42319.47,28020.67,33085.43,21906.60,5.35,1.77
PAPUA BARAT,2020,83588.64,61604.13,73932.60,54487.70,-0.76,-15.42
PAPUA,2020,199232.88,137787.29,46427.15,32108.51,2.39,-20.13
INDONESIA,2020,15438017.50,10723054.80,57269.80,39778.89,-2.07,-3.03
ACEH,2021,184976.30,135249.59,34680.46,25357.40,2.79,1.36
SUMATERA UTARA,2021,859870.95,547651.82,57569.79,36666.20,2.61,1.36
SUMATERA BARAT,2021,252749.65,174996.06,45293.75,31360.00,3.29,2.17
RIAU,2021,843211.15,506457.71,129852.59,77993.33,3.36,1.44
JAMBI,2021,233725.46,153881.69,65193.22,42922.34,3.66,2.31
SUMATERA SELATAN,2021,491566.45,326407.93,57487.44,38172.58,3.58,2.28
BENGKULU,2021,79576.33,47839.68,39143.43,23532.24,3.24,1.85
LAMPUNG,2021,371903.17,247001.67,40950.42,27197.46,2.79,1.70
KEP. BANGKA BELITUNG,2021,85942.70,55360.74,58338.82,37579.45,5.05,3.52
KEP. RIAU,2021,275636.33,180952.44,130125.23,85425.89,3.43,0.49
DKI JAKARTA,2021,2914581.08,1856301.41,274709.59,174962.98,3.56,2.86
JAWA BARAT,2021,2209822.38,1507746.39,45299.58,30907.59,3.74,2.41
JAWA TENGAH,2021,1420799.91,997317.10,38669.11,27143.42,3.32,2.49
DI YOGYAKARTA,2021,149369.17,107308.56,40229.83,28901.58,5.53,4.15
JAWA TIMUR,2021,2454498.80,1669116.89,60043.33,40830.88,3.57,2.88
BANTEN,2021,665921.92,460739.58,55210.65,38199.27,4.44,2.78
BALI,2021,219800.03,143870.40,50381.21,32977.09,-2.47,-3.64
NUSA TENGGARA BARAT,2021,140153.32,95436.85,26002.48,17706.29,2.30,0.70
NUSA TENGGARA TIMUR,2021,110885.75,70538.34,20581.13,13092.38,2.51,1.01
KALIMANTAN BARAT,2021,231321.16,141187.04,42282.90,25807.40,4.78,3.42
KALIMANTAN TENGAH,2021,170001.21,102294.47,62912.85,37856.42,3.40,1.91
KALIMANTAN SELATAN,2021,192576.58,135412.85,46712.68,32846.66,3.48,1.97
KALIMANTAN TIMUR,2021,695158.33,484297.35,182540.82,127171.08,2.48,1.08
KALIMANTAN UTARA,2021,110668.94,63162.97,155080.62,88510.41,3.98,1.94
SULAWESI UTARA,2021,142600.02,91790.93,54043.18,34787.33,4.16,3.32
SULAWESI TENGAH,2021,246987.36,149849.81,81733.04,49588.29,11.70,10.07
SULAWESI SELATAN,2021,545230.03,343402.51,59656.24,37573.32,4.65,3.66
SULAWESI TENGGARA,2021,139057.83,97276.96,52293.97,36581.89,4.10,2.44
GORONTALO,2021,43896.37,29109.96,37170.45,24649.65,2.41,1.38
SULAWESI BARAT,2021,50341.23,32874.63,35036.02,22879.78,2.56,1.00
MALUKU,2021,48564.22,31700.76,26072.98,17019.39,3.04,1.99
MALUKU UTARA,2021,52359.85,32615.10,40302.32,25104.43,16.40,14.60
PAPUA BARAT,2021,85072.86,61288.61,73539.00,52979.33,-0.51,-2.77
PAPUA,2021,235343.25,158611.04,54034.26,36416.72,15.11,13.42
INDONESIA,2021,16970789.20,11118868.50,62236.44,40775.88,3.69,2.51
